UF,Município,Masculino,Feminino,Não Informado,Total
RN,Senador Georgino Avelino,8,26,2,36
RN,Serra de São Bento,25,0,0,25
RN,Serra do Mel,1,0,0,1
RN,Serra Negra do Norte,29,3,0,32
RN,Serrinha,1,0,0,1
RN,Severiano Melo,55,29,1,85
RN,Sítio Novo,87,41,1,129
RN,Taboleiro Grande,34,14,0,48
RN,Tangará,249,208,2,459
RN,Tenente Ananias,8,1,1,10
RN,Tibau,107,87,0,194
RN,Tibau do Sul,503,307,3,813
RN,Timbaúba dos Batistas,3,0,0,3
RN,Touros,899,408,4,1311
RN,Triunfo Potiguar,128,202,3,333
RN,Umarizal,144,99,4,247
RN,Upanema,205,210,6,421
RN,Vila Flor,3,0,0,3
RO,Alta Floresta d`Oeste,15,5,0,20
RO,Alto Paraíso,8,2,0,10
RO,Alvorada d`Oeste,2,1,0,3
RO,Ariquemes,78,48,3,129
RO,Buritis,58,17,2,77
RO,Cabixi,54,10,1,65
RO,Cacoal,17,9,0,26
RO,Campo Novo de Rondônia,3,4,0,7
RO,Candeias do Jamari,153,165,2,320
RO,Cerejeiras,8,1,0,9
RO,Colorado do Oeste,3,3,0,6
RO,Corumbiara,1,0,0,1
RO,Costa Marques,118,56,4,178
RO,Cujubim,4,1,0,5
RO,Espigão d`Oeste,0,2,0,2
RO,Governador Jorge Teixeira,1,0,0,1
RO,Guajará-Mirim,174,90,3,267
RO,Itapuã do Oeste,125,143,5,273
RO,Jaru,35,10,0,45
RO,Ji-Paraná,112,52,0,164
RO,Machadinho d`Oeste,80,54,3,137
RO,Ministro Andreazza,1,0,0,1
RO,Monte Negro,1,0,0,1
RO,Nova Brasilândia d`Oeste,1,0,0,1
RO,Nova Mamoré,22,11,1,34
RO,Nova União,3,0,0,3
RO,Ouro Preto do Oeste,14,3,0,17
RO,Pimenta Bueno,28,17,0,45
RO,Pimenteiras do Oeste,77,37,1,115
RO,Porto Velho,2814,3034,27,5875
RO,Presidente Médici,39,9,0,48
RO,Rolim de Moura,6,3,0,9
RO,São Francisco do Guaporé,105,59,0,164
RO,São Miguel do Guaporé,5,3,0,8
RO,Seringueiras,35,11,0,46
RO,Urupá,6,0,1,7
RO,Vale do Anari,3,0,0,3
RO,Vale do Paraíso,7,2,0,9
RR,Alto Alegre,51,27,0,78
RR,Amajari,76,75,0,151
RR,Boa Vista,1434,859,2,2295
RR,Bonfim,110,77,1,188
RR,Cantá,143,122,0,265
RR,Caracaraí,944,782,2,1728
RR,Caroebe,38,15,0,53
RR,Iracema,145,127,0,272
RR,Mucajaí,185,201,1,387
RR,Normandia,44,39,0,83
RR,Pacaraima,22,17,0,39
RR,Rorainópolis,340,267,4,611
RR,São João da Baliza,66,40,0,106
RR,São Luiz,99,63,0,162
RR,Uiramutã,1,0,0,1
RS,Ajuricaba,3,0,0,3
RS,Alecrim,52,19,0,71
RS,Alegrete,27,10,1,38
RS,Alpestre,20,2,0,22
RS,Alto Alegre,5,1,0,6
RS,Alvorada,41,0,0,41
RS,Ametista do Sul,3,0,0,3
RS,André da Rocha,1,0,0,1
RS,Antônio Prado,1,0,0,1
RS,Arambaré,21,2,0,23
RS,Aratiba,34,2,0,36
RS,Arroio do Meio,29,4,1,34
RS,Arroio do Sal,103,33,0,136
RS,Arroio dos Ratos,3,1,0,4
RS,Arroio do Tigre,43,1,0,44
RS,Arroio Grande,102,64,0,166
RS,Augusto Pestana,18,0,0,18
RS,Bagé,4,0,0,4
RS,Balneário Pinhal,51,26,0,77
RS,Barracão,2,0,0,2
RS,Barra do Guarita,16,4,0,20
RS,Barra do Quarai,3,0,0,3
RS,Barra do Ribeiro,22,6,0,28
RS,Barra do Rio Azul,11,2,0,13
RS,Bento Gonçalves,2,0,0,2
RS,Bom Princípio,8,0,0,8
RS,Bom Retiro do Sul,14,2,0,16
RS,Bossoroca,1,0,0,1
RS,Bozano,1,0,0,1
RS,Caçapava do Sul,2,1,0,3
RS,Cacequi,10,0,0,10
RS,Cachoeira do Sul,112,46,0,158
RS,Cachoeirinha,40,1,0,41
RS,Caibaté,8,0,0,8
RS,Caiçara,5,3,0,8
RS,Camaquã,12,4,0,16
RS,Campina das Missões,2,0,0,2
RS,Campinas do Sul,39,9,0,48
RS,Campo Bom,34,1,0,35
RS,Campos Borges,8,1,0,9
RS,Candelária,4,0,0,4
RS,Cândido Godói,1,0,0,1
RS,Canela,1,0,0,1
RS,Canoas,183,32,0,215
RS,Capão da Canoa,131,23,0,154
RS,Capão do Leão,4,0,0,4
RS,Capela de Santana,34,8,1,43
RS,Carazinho,1,0,0,1
RS,Carlos Barbosa,4,0,0,4
RS,Catuípe,5,1,0,6
RS,Caxias do Sul,11,1,0,12
RS,Cerro Grande,1,0,0,1
RS,Cerro Grande do Sul,2,0,0,2
RS,Cerro Largo,2,1,0,3
RS,Charqueadas,56,20,0,76
RS,Chiapetta,2,0,0,2
RS,Cidreira,100,36,0,136
RS,Colinas,1,0,0,1
RS,Constantina,2,0,0,2
RS,Coronel Barros,9,0,0,9
RS,Crissiumal,9,3,0,12
RS,Cristal,3,0,0,3
RS,Cruz Alta,3,0,0,3
RS,Cruzeiro do Sul,19,1,0,20
RS,Derrubadas,2,0,0,2
RS,Dezesseis de Novembro,10,0,0,10
RS,Dois Irmãos,4,0,0,4
RS,Dom Pedrito,3,0,0,3
RS,Doutor Maurício Cardoso,7,3,0,10
RS,Eldorado do Sul,59,20,0,79
RS,Encantado,7,1,0,8
RS,Entre-Ijuís,21,1,0,22
RS,Erechim,10,0,0,10
RS,Ernestina,9,0,0,9
RS,Erval Grande,34,13,0,47
RS,Erval Seco,1,0,0,1
RS,Esperança do Sul,21,7,0,28
RS,Espumoso,2,0,0,2
RS,Estância Velha,13,0,0,13
RS,Esteio,49,5,0,54
RS,Estrela,30,3,0,33
RS,Eugênio de Castro,2,0,0,2
RS,Fagundes Varela,1,0,0,1
RS,Faxinalzinho,6,0,0,6
RS,Feliz,6,0,0,6
RS,Formigueiro,1,0,0,1
RS,Fortaleza dos Valos,21,3,0,24
RS,Frederico Westphalen,7,2,0,9
RS,Garruchos,160,96,0,256
RS,General Câmara,84,52,0,136
RS,Getúlio Vargas,4,1,0,5
RS,Giruá,5,0,0,5
RS,Glorinha,3,0,0,3
RS,Gramado,1,0,0,1
RS,Gravataí,75,3,0,78
RS,Guabiju,1,0,0,1
RS,Guaíba,43,12,0,55
RS,Harmonia,2,0,0,2
RS,Ibirapuitã,7,0,0,7
RS,Ibirubá,3,0,0,3
RS,Igrejinha,20,0,0,20
RS,Ijuí,141,9,0,150
RS,Ilópolis,1,0,0,1
RS,Imbé,319,48,2,369
RS,Ipiranga do Sul,1,0,0,1
RS,Iraí,33,13,0,46
RS,Itapuca,0,1,0,1
RS,Itaqui,126,67,0,193
RS,Itatiba do Sul,10,3,0,13
RS,Ivorá,1,0,0,1
RS,Ivoti,9,0,0,9
RS,Jacuizinho,2,0,0,2
RS,Jaguarão,61,37,0,98
RS,Jaguari,3,0,0,3
RS,Jaquirana,1,0,0,1
RS,Jóia,2,0,0,2
RS,Júlio de Castilhos,1,0,0,1
RS,Lajeado,48,1,1,50
RS,Lindolfo Collor,6,0,0,6
RS,Machadinho,3,1,0,4
RS,Manoel Viana,26,14,0,40
RS,Maquiné,52,17,0,69
RS,Marau,2,0,0,2
RS,Marcelino Ramos,40,10,0,50
RS,Mariano Moro,54,15,0,69
RS,Marques de Souza,2,0,0,2
RS,Monte Alegre dos Campos,1,0,0,1
RS,Monte Belo do Sul,2,0,0,2
RS,Montenegro,46,1,0,47
RS,Morrinhos do Sul,1,0,0,1
RS,Morro Reuter,1,0,0,1
RS,Mostardas,93,63,0,156
RS,Muçum,1,0,0,1
RS,Muliterno,0,1,0,1
RS,Não-Me-Toque,5,2,0,7
RS,Nonoai,10,6,0,16
RS,Nova Hartz,8,0,0,8
RS,Nova Petrópolis,2,0,0,2
RS,Nova Santa Rita,62,16,0,78
RS,Novo Barreiro,1,0,0,1
RS,Novo Hamburgo,60,5,1,66
RS,Novo Machado,1,0,0,1
RS,Osório,88,10,0,98
RS,Palmares do Sul,277,173,1,451
RS,Panambi,3,1,0,4
RS,Pareci Novo,22,0,0,22
RS,Parobé,19,0,0,19
RS,Passo do Sobrado,8,0,0,8
RS,Passo Fundo,6,0,0,6
RS,Pelotas,654,436,3,1093
RS,Picada Café,1,0,0,1
RS,Pinhal,47,20,0,67
RS,Pinhal Grande,1,0,0,1
RS,Pinheirinho do Vale,11,7,0,18
RS,Pinheiro Machado,0,2,0,2
RS,Pirapó,81,49,1,131
RS,Planalto,2,0,0,2
RS,Ponte Preta,1,0,0,1
RS,Portão,24,2,0,26
RS,Porto Alegre,1309,414,1,1724
RS,Porto Lucena,51,28,0,79
RS,Porto Mauá,26,7,0,33
RS,Porto Vera Cruz,30,14,0,44
RS,Porto Xavier,103,61,0,164
RS,Quaraí,28,10,0,38
RS,Quinze de Novembro,8,2,0,10
RS,Redentora,1,0,0,1
RS,Restinga Seca,16,2,0,18
RS,Rio dos Índios,24,7,1,32
RS,Rio Grande,1433,415,4,1852
RS,Rio Pardo,83,31,0,114
RS,Riozinho,1,0,0,1
RS,Roca Sales,3,0,0,3
RS,Ronda Alta,1,0,0,1
RS,Roque Gonzales,22,8,0,30
RS,Rosário do Sul,37,0,0,37
RS,Saldanha Marinho,2,0,0,2
RS,Salto do Jacuí,183,35,0,218
RS,Salvador do Sul,1,0,0,1
RS,Santa Cruz do Sul,53,4,0,57
RS,Santa Maria,33,5,0,38
RS,Santa Rosa,8,4,0,12
RS,Santa Vitória do Palmar,155,74,0,229
RS,Santiago,2,0,0,2
RS,Santo Ângelo,31,4,1,36
RS,Santo Antônio da Patrulha,8,0,1,9
RS,Santo Antônio das Missões,6,2,0,8
RS,Santo Augusto,3,0,0,3
RS,Santo Cristo,4,0,0,4
RS,São Borja,148,56,0,204
RS,São Francisco de Assis,16,2,0,18
RS,São Gabriel,165,19,1,185
RS,São Jerônimo,92,52,0,144
RS,São José do Hortêncio,4,1,0,5
RS,São José do Inhacorá,7,2,0,9
RS,São José do Norte,1456,518,3,1977
RS,São José do Ouro,4,0,0,4
RS,São José dos Ausentes,0,1,0,1
RS,São Leopoldo,74,6,0,80
RS,São Lourenço do Sul,201,74,0,275
RS,São Luiz Gonzaga,17,1,0,18
RS,São Martinho,2,0,0,2
RS,São Miguel das Missões,3,0,0,3
RS,São Nicolau,137,81,0,218
RS,São Paulo das Missões,1,0,0,1
RS,São Sebastião do Caí,22,0,0,22
RS,Sapiranga,22,1,1,24
RS,Sapucaia do Sul,105,11,0,116
RS,Sarandi,5,0,0,5
RS,Segredo,2,0,0,2
RS,Selbach,7,0,0,7
RS,Sentinela do Sul,1,0,0,1
RS,Severiano de Almeida,8,2,0,10
RS,Sinimbu,1,0,0,1
RS,Sobradinho,13,0,0,13
RS,Soledade,6,0,0,6
RS,Tapes,84,37,0,121
RS,Taquara,14,1,0,15
RS,Taquari,89,54,0,143
RS,Tavares,143,64,0,207
RS,Terra de Areia,50,32,0,82
RS,Teutônia,5,0,0,5
RS,Tiradentes do Sul,31,16,0,47
RS,Torres,296,70,0,366
RS,Tramandaí,388,81,0,469
RS,Três Arroios,1,0,0,1
RS,Três Cachoeiras,10,11,0,21
RS,Três Coroas,1,0,0,1
RS,Três de Maio,4,0,0,4
RS,Três Forquilhas,2,0,0,2
RS,Três Palmeiras,1,0,0,1
RS,Três Passos,13,4,0,17
RS,Triunfo,72,16,0,88
RS,Tucunduva,2,0,0,2
RS,Tunas,16,1,0,17
RS,Tupanciretã,2,1,0,3
RS,Tupandi,1,0,0,1
RS,Tuparendi,1,1,0,2
RS,Uruguaiana,288,157,0,445
RS,Vacaria,3,0,0,3
RS,Vale Verde,1,0,0,1
RS,Venâncio Aires,24,1,0,25
RS,Vera Cruz,7,1,0,8
RS,Veranópolis,1,0,0,1
RS,Viadutos,3,0,0,3
RS,Viamão,94,13,2,109
RS,Vicente Dutra,51,19,0,70
RS,Victor Graeff,1,0,0,1
RS,Xangri-lá,91,11,0,102
SC,Abdon Batista,254,107,1,362
SC,Abelardo Luz,2,0,0,2
SC,Agrolândia,3,0,1,4
SC,Agronômica,3,0,0,3
SC,Águas de Chapecó,82,46,1,129
SC,Águas Frias,2,0,0,2
SC,Anita Garibaldi,88,3,1,92
SC,Antônio Carlos,3,0,0,3
SC,Araquari,109,53,6,168
SC,Araranguá,140,67,3,210
SC,Arroio Trinta,18,21,0,39
SC,Aurora,5,0,0,5
SC,Balneário Arroio do Silva,112,90,4,206
SC,Balneário Barra do Sul,270,151,28,449
SC,Balneário Camboriú,150,60,18,228
SC,Balneário Gaivota,186,169,8,363
SC,Balneário Piçarras,43,18,12,73
SC,Balneário Rincão,565,669,11,1245
SC,Barra Velha,145,61,13,219
SC,Biguaçu,179,38,10,227
SC,Blumenau,14,0,0,14
SC,Bombinhas,615,234,34,883
SC,Bom Jesus,1,0,0,1
SC,Bom Retiro,2,0,0,2
SC,Brunópolis,19,0,0,19
SC,Brusque,3,0,0,3
SC,Caibi,25,13,1,39
SC,Camboriú,11,6,1,18
SC,Campo Belo do Sul,15,2,0,17
SC,Campos Novos,33,4,0,37
SC,Canelinha,4,1,0,5
SC,Canoinhas,6,0,0,6
SC,Capão Alto,1,0,0,1
SC,Capinzal,47,6,1,54
SC,Capivari de Baixo,2,1,0,3
SC,Catanduvas,1,0,0,1
SC,Caxambu do Sul,44,9,0,53
SC,Celso Ramos,27,3,1,31
SC,Cerro Negro,18,1,0,19
SC,Chapecó,87,33,1,121
SC,Concórdia,195,41,1,237
SC,Cordilheira Alta,1,1,0,2
SC,Coronel Freitas,20,3,1,24
SC,Correia Pinto,6,0,0,6
SC,Criciúma,47,4,4,55
SC,Curitibanos,106,4,1,111
SC,Erval Velho,20,1,0,21
SC,Faxinal dos Guedes,3,0,0,3
SC,Florianópolis,5255,2854,98,8207
SC,Formosa do Sul,1,2,0,3
SC,Forquilhinha,14,3,0,17
SC,Fraiburgo,21,0,0,21
SC,Garopaba,686,474,10,1170
SC,Garuva,39,11,1,51
SC,Gaspar,3,0,0,3
SC,Governador Celso Ramos,1501,763,33,2297
SC,Gravatal,2,0,0,2
SC,Guaramirim,7,2,0,9
SC,Guatambú,4,0,0,4
SC,Herval d`Oeste,105,6,2,113
SC,Ibicaré,4,1,0,5
SC,Ibirama,5,0,0,5
SC,Içara,95,40,6,141
SC,Ilhota,15,1,0,16
SC,Imaruí,264,275,10,549
SC,Imbituba,895,645,18,1558
SC,Imbuia,3,1,0,4
SC,Indaial,9,1,0,10
SC,Ipira,59,1,0,60
SC,Iporã do Oeste,3,0,0,3
SC,Ipuaçu,10,0,0,10
SC,Ipumirim,2,5,1,8
SC,Irani,6,2,0,8
SC,Irati,1,0,0,1
SC,Itá,61,10,0,71
SC,Itajaí,217,9,15,241
SC,Itapema,174,28,16,218
SC,Itapiranga,72,22,0,94
SC,Itapoá,256,208,33,497
SC,Ituporanga,3,0,0,3
SC,Jaborá,6,0,0,6
SC,Jacinto Machado,1,0,0,1
SC,Jaguaruna,380,368,7,755
SC,Jaraguá do Sul,6,0,0,6
SC,Joaçaba,64,8,0,72
SC,Joinville,769,233,21,1023
SC,Lacerdópolis,9,0,0,9
SC,Lages,212,4,14,230
SC,Laguna,2129,2632,51,4812
SC,Laurentino,3,0,0,3
SC,Lauro Muller,0,1,0,1
SC,Lindóia do Sul,6,0,0,6
SC,Lontras,2,0,0,2
SC,Maracajá,3,2,0,5
SC,Maravilha,2,0,0,2
SC,Massaranduba,1,0,1,2
SC,Meleiro,2,0,0,2
SC,Mondaí,37,9,0,46
SC,Monte Carlo,2,0,1,3
SC,Morro da Fumaça,2,0,0,2
SC,Morro Grande,3,1,0,4
SC,Navegantes,1404,56,15,1475
SC,Nova Erechim,4,3,0,7
SC,Nova Itaberaba,7,4,0,11
SC,Nova Veneza,4,0,0,4
SC,Orleans,2,0,0,2
SC,Otacílio Costa,7,0,1,8
SC,Ouro,6,0,0,6
SC,Palhoça,381,91,19,491
SC,Palmitos,42,10,0,52
SC,Passo de Torres,507,310,7,824
SC,Passos Maia,0,1,0,1
SC,Paulo Lopes,8,19,0,27
SC,Penha,1091,612,58,1761
SC,Peritiba,57,3,1,61
SC,Pinhalzinho,4,0,0,4
SC,Pinheiro Preto,9,0,0,9
SC,Piratuba,67,9,0,76
SC,Planalto Alegre,3,2,0,5
SC,Ponte Alta,6,0,0,6
SC,Ponte Alta do Norte,10,0,0,10
SC,Porto Belo,535,249,37,821
SC,Porto União,1,0,0,1
SC,Praia Grande,1,0,0,1
SC,Presidente Castello Branco,13,0,0,13
SC,Quilombo,2,1,0,3
SC,Rancho Queimado,0,1,0,1
SC,Rio das Antas,1,2,0,3
SC,Rio do Oeste,1,0,0,1
SC,Rio do Sul,2,0,0,2
SC,Riqueza,4,1,0,5
SC,Sangão,1,2,0,3
SC,Santa Cecília,20,1,1,22
SC,Santa Helena,0,1,0,1
SC,Santa Rosa do Sul,25,8,0,33
SC,Santo Amaro da Imperatriz,2,1,0,3
SC,São Carlos,205,88,2,295
SC,São Cristovão do Sul,2,0,0,2
SC,São Domingos,8,0,0,8
SC,São Francisco do Sul,570,294,24,888
SC,São João Batista,0,1,0,1
SC,São João do Sul,44,25,0,69
SC,São Joaquim,2,0,0,2
SC,São José,183,29,10,222
SC,São José do Cerrito,123,27,1,151
SC,São Lourenço do Oeste,2,0,0,2
SC,São Miguel do Oeste,3,1,0,4
SC,Saudades,2,2,0,4
SC,Seara,94,7,0,101
SC,Siderópolis,2,0,0,2
SC,Sombrio,104,52,1,157
SC,Tangará,8,0,0,8
SC,Tijucas,244,185,10,439
SC,Timbó Grande,18,0,0,18
SC,Três Barras,1,0,0,1
SC,Treze Tílias,10,1,0,11
SC,Tubarão,19,1,0,20
SC,Tunápolis,0,1,0,1
SC,Turvo,1,0,0,1
SC,Urubici,1,0,0,1
SC,Vargem,60,9,2,71
SC,Videira,60,2,1,63
SC,Xanxerê,59,0,1,60
SC,Xavantina,6,0,0,6
SC,Xaxim,1,1,0,2
SE,Amparo de São Francisco,298,387,6,691
SE,Aquidabã,2,2,0,4
SE,Aracaju,1100,2259,10,3369
SE,Arauá,0,1,0,1
SE,Areia Branca,4,3,1,8
SE,Barra dos Coqueiros,366,580,2,948
SE,Boquim,2,2,0,4
SE,Brejo Grande,963,942,7,1912
SE,Campo do Brito,3,0,0,3
SE,Canhoba,106,125,1,232
SE,Canindé de São Francisco,108,209,1,318
SE,Capela,1,0,0,1
SE,Carira,0,1,0,1
SE,Carmópolis,36,199,3,238
SE,Cedro de São João,240,199,5,444
SE,Cristinápolis,1,2,0,3
SE,Cumbe,3,4,0,7
SE,Divina Pastora,2,2,0,4
SE,Estância,370,826,12,1208
SE,Feira Nova,2,0,0,2
SE,Gararu,559,523,6,1088
SE,General Maynard,32,144,0,176
SE,Gracho Cardoso,52,40,0,92
SE,Ilha das Flores,860,1075,16,1951
SE,Indiaroba,574,941,3,1518
SE,Itabaiana,20,6,0,26
SE,Itabaianinha,0,1,0,1
SE,Itabi,6,10,0,16
SE,Itaporanga d`Ajuda,121,265,0,386
SE,Japaratuba,96,226,1,323
SE,Japoatã,0,11,0,11
SE,Lagarto,1,2,0,3
SE,Laranjeiras,152,1054,17,1223
SE,Macambira,0,2,0,2
SE,Malhada dos Bois,0,3,0,3
SE,Malhador,1,1,0,2
SE,Maruim,206,1196,10,1412
SE,Moita Bonita,0,1,0,1
SE,Monte Alegre de Sergipe,2,0,0,2
SE,Muribeca,1,2,0,3
SE,Neópolis,370,437,7,814
SE,Nossa Senhora das Dores,3,0,0,3
SE,Nossa Senhora de Lourdes,160,152,3,315
SE,Nossa Senhora do Socorro,430,1340,17,1787
SE,Pacatuba,673,1215,12,1900
SE,Pedrinhas,1,0,0,1
SE,Pirambu,779,1280,5,2064
SE,Poço Redondo,234,282,2,518
SE,Porto da Folha,808,992,8,1808
SE,Propriá,169,76,1,246
SE,Riachuelo,16,23,0,39
SE,Rosário do Catete,1,2,0,3
SE,Salgado,0,1,0,1
SE,Santa Luzia do Itanhy,375,593,1,969
SE,Santana do São Francisco,315,526,24,865
SE,Santo Amaro das Brotas,141,735,0,876
SE,São Cristóvão,617,1490,2,2109
SE,São Francisco,6,1,0,7
SE,São Miguel do Aleixo,1,1,0,2
SE,Telha,86,76,3,165
SE,Umbaúba,0,1,0,1
SP,Adamantina,56,13,0,69
SP,Adolfo,27,7,0,34
SP,Aguaí,5,0,1,6
SP,Águas de Santa Bárbara,1,0,0,1
SP,Agudos,2,0,0,2
SP,Alfredo Marcondes,3,1,0,4
SP,Altair,5,1,0,6
SP,Altinópolis,16,3,0,19
SP,Alto Alegre,4,1,0,5
SP,Alumínio,3,0,0,3
SP,Álvares Florence,2,0,0,2
SP,Álvares Machado,3,2,0,5
SP,Americana,73,7,1,81
SP,Américo Brasiliense,8,1,0,9
SP,Américo de Campos,2,0,0,2
SP,Amparo,2,0,1,3
SP,Andradina,43,19,0,62
SP,Angatuba,26,17,0,43
SP,Anhembi,108,84,0,192
SP,Anhumas,2,1,0,3
SP,Aparecida,31,13,0,44
SP,Aparecida d`Oeste,31,4,0,35
SP,Araçariguama,1,1,0,2
SP,Araçatuba,332,64,12,408
SP,Aramina,7,6,0,13
SP,Arandu,2,1,0,3
SP,Araraquara,90,10,1,101
SP,Araras,42,5,0,47
SP,Arealva,22,9,0,31
SP,Areias,6,1,0,7
SP,Areiópolis,2,0,0,2
SP,Ariranha,3,0,0,3
SP,Artur Nogueira,3,1,0,4
SP,Aspásia,12,2,0,14
SP,Assis,130,23,1,154
SP,Atibaia,8,1,0,9
SP,Auriflama,17,4,0,21
SP,Avanhandava,6,1,0,7
SP,Avaré,36,2,0,38
SP,Bady Bassitt,14,1,0,15
SP,Bálsamo,22,4,0,26
SP,Barão de Antonina,10,4,0,14
SP,Barbosa,73,19,1,93
SP,Bariri,135,22,1,158
SP,Barra Bonita,113,16,10,139
SP,Barretos,92,12,3,107
SP,Barrinha,16,0,0,16
SP,Bastos,7,0,0,7
SP,Batatais,8,1,0,9
SP,Bauru,115,19,1,135
SP,Bebedouro,74,3,0,77
SP,Bento de Abreu,0,1,0,1
SP,Bernardino de Campos,8,0,0,8
SP,Bertioga,166,52,4,222
SP,Bilac,2,0,0,2
SP,Birigui,156,26,6,188
SP,Biritiba-Mirim,7,1,0,8
SP,Boa Esperança do Sul,9,0,0,9
SP,Bocaina,2,0,0,2
SP,Bofete,1,0,0,1
SP,Boituva,3,1,0,4
SP,Bom Sucesso de Itararé,1,0,0,1
SP,Boracéia,8,2,0,10
SP,Borborema,144,44,3,191
SP,Botucatu,177,74,1,252
SP,Bragança Paulista,1,0,0,1
SP,Braúna,7,1,0,8
SP,Brejo Alegre,1,0,0,1
SP,Brodowski,25,0,0,25
SP,Brotas,6,2,0,8
SP,Buri,2,2,0,4
SP,Buritama,29,8,0,37
SP,Buritizal,3,2,0,5
SP,Caçapava,3,2,0,5
SP,Cachoeira Paulista,7,2,0,9
SP,Caconde,25,2,0,27
SP,Cafelândia,44,10,0,54
SP,Caieiras,1,1,0,2
SP,Caiuá,9,4,0,13
SP,Cajamar,4,0,0,4
SP,Cajati,1,0,0,1
SP,Cajobi,5,2,0,7
SP,Cajuru,5,0,0,5
SP,Campina do Monte Alegre,32,22,0,54
SP,Campinas,59,15,0,74
SP,Campo Limpo Paulista,1,0,0,1
SP,Campos Novos Paulista,1,0,0,1
SP,Cananéia,302,101,6,409
SP,Cândido Mota,83,29,0,112
SP,Cândido Rodrigues,3,0,0,3
SP,Canitar,2,0,0,2
SP,Capivari,8,1,0,9
SP,Caraguatatuba,159,13,19,191
SP,Cardoso,99,50,0,149
SP,Casa Branca,6,0,0,6
SP,Castilho,111,92,0,203
SP,Catanduva,109,30,1,140
SP,Catiguá,3,0,0,3
SP,Cedral,5,1,1,7
SP,Cerqueira César,9,1,0,10
SP,Cerquilho,12,1,0,13
SP,Cesário Lange,1,0,0,1
SP,Charqueada,17,2,0,19
SP,Chavantes,7,0,0,7
SP,Clementina,3,0,0,3
SP,Colina,11,3,0,14
SP,Colômbia,110,31,0,141
SP,Conchal,21,2,0,23
SP,Conchas,4,1,0,5
SP,Coroados,4,1,0,5
SP,Cosmópolis,15,1,1,17
SP,Cosmorama,13,1,1,15
SP,Cotia,4,1,0,5
SP,Cravinhos,13,0,0,13
SP,Cruzália,11,1,0,12
SP,Cubatão,37,9,0,46
SP,Descalvado,79,5,0,84
SP,Diadema,20,4,0,24
SP,Dirce Reis,3,0,0,3
SP,Divinolândia,19,5,0,24
SP,Dois Córregos,19,10,0,29
SP,Dourado,5,0,0,5
SP,Dracena,112,20,1,133
SP,Duartina,1,0,0,1
SP,Dumont,1,0,0,1
SP,Eldorado,1,0,0,1
SP,Elisiário,1,1,0,2
SP,Embu das Artes,1,1,0,2
SP,Embu-Guaçu,1,0,0,1
SP,Emilianópolis,24,2,0,26
SP,Engenheiro Coelho,2,0,0,2
SP,Espírito Santo do Pinhal,1,0,0,1
SP,Estrela d`Oeste,7,1,0,8
SP,Euclides da Cunha Paulista,30,8,0,38
SP,Fartura,29,0,0,29
SP,Fernandópolis,35,3,0,38
SP,Fernando Prestes,2,2,0,4
SP,Ferraz de Vasconcelos,5,0,0,5
SP,Flora Rica,3,0,0,3
SP,Floreal,2,0,0,2
SP,Flórida Paulista,3,4,0,7
SP,Florínia,23,7,0,30
SP,Franca,257,32,3,292
SP,Francisco Morato,1,0,0,1
SP,Gabriel Monteiro,2,0,1,3
SP,Gália,1,0,0,1
SP,Garça,1,0,0,1
SP,Gastão Vidigal,2,0,0,2
SP,General Salgado,4,1,0,5
SP,Getulina,5,2,0,7
SP,Glicério,8,1,0,9
SP,Guaiçara,24,18,0,42
SP,Guaimbê,5,0,0,5
SP,Guaíra,25,1,0,26
SP,Guapiaçu,18,0,0,18
SP,Guará,13,1,0,14
SP,Guaraçaí,8,2,0,10
SP,Guaraci,85,48,1,134
SP,Guarani d`Oeste,1,0,0,1
SP,Guarantã,37,13,0,50
SP,Guararapes,26,0,0,26
SP,Guararema,3,1,0,4
SP,Guaratinguetá,2,0,0,2
SP,Guariba,20,3,0,23
SP,Guarujá,992,296,20,1308
SP,Guarulhos,10,2,0,12
SP,Guatapará,48,9,1,58
SP,Guzolândia,4,0,0,4
SP,Hortolândia,13,2,1,16
SP,Iacanga,54,27,1,82
SP,Ibaté,26,5,0,31
SP,Ibirá,8,1,0,9
SP,Ibirarema,0,1,0,1
SP,Ibitinga,250,71,1,322
SP,Ibiúna,5,1,0,6
SP,Icém,113,39,0,152
SP,Iepê,13,5,0,18
SP,Igaraçu do Tietê,128,32,0,160
SP,Igarapava,27,10,0,37
SP,Iguape,1089,611,47,1747
SP,Ilhabela,238,88,13,339
SP,Ilha Comprida,88,37,2,127
SP,Ilha Solteira,62,25,1,88
SP,Indaiatuba,3,1,0,4
SP,Indiaporã,4,2,0,6
SP,Inúbia Paulista,3,0,0,3
SP,Ipaussu,4,0,0,4
SP,Iperó,3,1,0,4
SP,Ipeúna,2,0,0,2
SP,Iporanga,1,0,0,1
SP,Ipuã,3,0,0,3
SP,Irapuã,53,9,0,62
SP,Irapuru,8,3,0,11
SP,Itaberá,1,0,0,1
SP,Itaí,36,7,0,43
SP,Itajobi,64,12,0,76
SP,Itaju,30,6,0,36
SP,Itanhaém,250,58,14,322
SP,Itapetininga,17,3,0,20
SP,Itapeva,3,0,0,3
SP,Itapevi,8,1,0,9
SP,Itapira,1,0,0,1
SP,Itápolis,59,7,1,67
SP,Itaporanga,19,3,0,22
SP,Itapuí,30,3,0,33
SP,Itapura,64,16,0,80
SP,Itaquaquecetuba,8,3,0,11
SP,Itararé,1,0,0,1
